0,1,2,3,4,5,6
高石公路经五路,31.464283,121.255679,嘉定107路,null,null,0
高石公路华高路,31.46578,121.259285,嘉定107路,null,null,0
石村,31.459733,121.25153,嘉定64路,null,null,0
华高路纬三路,31.463707,121.260827,嘉定107路,null,null,0
华高路纬三路华藏寺,31.46271,121.261186,嘉定107路,null,null,0
新园,31.468604,121.267031,嘉定107路,null,null,0
华业路纬三路,31.465104,121.264889,嘉定107路,null,null,0
华高路华博路,31.459339,121.262387,嘉定107路,null,null,0
华业路华博路,31.460361,121.266627,嘉定107路,null,null,0
北新村,31.481683,121.268825,嘉唐华线,null,null,0
高石公路徐星路,31.470877,121.273764,嘉定107路,null,null,0
杜家宅,31.473197,121.280526,嘉定107路,null,null,0
徐村,31.484503,121.279262,嘉唐华线,null,null,0
高石公路浏翔公路,31.475541,121.287385,嘉定107路,null,null,0
南周,31.487113,121.287028,嘉定68路,null,null,0
华亭北周,31.492718,121.284595,嘉定68路;太仓315路b线,null,null,0
华亭镇,31.474456,121.289858,嘉定68路,null,null,0
浏翔公路华旺路,31.478552,121.288596,839路;嘉定68路,null,null,0
华亭佳苑,31.479069,121.289792,嘉定107路,null,null,0
胡家村,31.46616,121.291093,834路;嘉定68路,null,null,0
霜竹公路浏翔公路,31.486635,121.289186,839路,null,null,0
联华村,31.4857,121.300545,嘉唐华线,null,null,0
福利院,31.485663,121.301135,839路,null,null,0
邵家湾,31.459284,121.292557,嘉定68路,null,null,0
胡村,31.48543,121.306205,嘉唐华线,null,null,0
金吕村(17:39-19:40班次至横塘、其余班次至横泾),31.470592,121.311132,嘉定107路,null,null,0
金吕村,31.470356,121.310719,嘉定107路,null,null,0
秦家宅,31.474002,121.314719,嘉定107路,null,null,0
新宅,31.480258,121.314326,嘉定107路,null,null,0
棋盘桥,31.485506,121.309118,839路;嘉唐华线,null,null,0
武双路沪樊路,31.476062,121.318932,嘉定107路,null,null,0
霜草墩,31.488468,121.318938,839路;嘉唐华线,null,null,0
沈家桥,31.478351,121.32953,839路,null,null,0
樊家宅,31.475486,121.330231,839路;宝山31路,null,null,0
长发路新川沙路,31.472837,121.333103,宝山18路;宝山86路,null,null,0
长虹路飞达路,31.479272,121.334603,宝山86路,null,null,0
长虹路潘沪路,31.482431,121.332803,宝山86路,null,null,0
罗宁路陈川路,31.483873,121.336726,宝山6路,null,null,0
合建,31.476415,121.342029,宝山18路;宝山31路;宝山86路,null,null,0
宝虹家园,31.482949,121.341258,宝山6路,null,null,0
潘沪路罗宁路,31.486717,121.338878,宝山6路;宝山86路,null,null,0
潘新路罗宁路,31.490258,121.335206,宝山6路,null,null,0
沪太公路潘川路,31.460832,121.332061,839路;宝山31路,null,null,0
集宁路罗宁路,31.492468,121.329266,宝山6路,null,null,0
宝钱公路沪太公路,31.46019,121.329788,外罗线,null,null,0
萧云路潘川路,31.461945,121.33772,宝山89路;宝山95路,null,null,0
萧月路潘新路,31.492288,121.336554,宝山6路,null,null,0
潘沪路潘泾路,31.487573,121.343103,宝山86路,null,null,0
潘泾路新川沙路,31.482438,121.346993,宝山6路;宝山81路,null,null,0
潘泾路陈川路,31.486037,121.345028,宝山6路,null,null,0
萧月路集宁路,31.493813,121.334768,宝山6路,null,null,0
潘泾路潘沪路,31.487933,121.344065,宝山81路;宝山86路,null,null,0
潘泾路潘新路,31.493889,121.34012,宝山81路;宝山86路,null,null,0
金石路罗宁路,31.459393,121.34706,宝山89路;宝山95路,null,null,0
陈行,31.483515,121.349962,宝山18路;宝山31路;宝山6路;宝山86路,null,null,0
潘泾路潘川路,31.469824,121.354962,宝山93路,null,null,0
潘泾路金石路,31.466254,121.356095,宝山81路;宝山93路,null,null,0
金石路潘泾路,31.465264,121.356231,宝山89路;宝山95路,null,null,0
金石路山茶路,31.46195,121.349476,宝山89路;宝山95路,null,null,0
新川沙路蕰川公路,31.4865,121.360357,宝山18路;宝山6路;宝山86路,null,null,0
蕰川公路新川沙路,31.48992,121.356709,宝山18路;宝山6路;宝山86路,null,null,0
金石路枫叶路,31.46594,121.36512,宝山89路,null,null,0
蕰川公路潘川路,31.479928,121.372812,宝山18路;宝山6路;宝山86路,null,null,0
金石路罗东路,31.465563,121.37108,宝山89路,null,null,0
罗东路金石路,31.464567,121.373069,宝山89路,null,null,0
罗东路金勺路,31.462325,121.373328,宝山89路,null,null,0
海红,31.472286,121.385182,宝山18路;宝山6路;宝山86路,null,null,0
罗北路钱陆路,31.458786,121.387554,宝山89路,null,null,0
海陆,31.467972,121.39244,宝山18路;宝山6路;宝山86路,null,null,0
海陆村,31.464233,121.390634,宝山12路,null,null,0
蕰川公路石太路,31.464419,121.404525,宝山18路;宝山6路;宝山86路,null,null,0
盛石路,31.462259,121.415914,宝山14路,null,null,0
石洞口码头,31.46801,121.423227,宝山14路,null,null,0
石洞口码头(下客站),31.467558,121.423127,宝山14路,null,null,0
石洞口码头(上客站),31.466046,121.422811,宝山14路,null,null,0
蕰川公路古莲路,31.458637,121.411905,宝山14路;宝山18路;宝山6路,null,null,0
滧南三队,31.491764,121.758128,崇明乡村1路,null,null,0
北陈公路揽海路,31.479384,121.79897,崇明东滩2路,null,null,0
陈家镇水厂,31.485335,121.803516,崇明东滩2路,null,null,0
凯悦金茂酒店,31.473193,121.808061,崇明东滩2路,null,null,0
北陈公路瀛陈公路,31.492107,121.80878,崇明东滩2路,null,null,0
铁塔,31.492962,121.809505,崇明乡村1路,null,null,0
中滨路揽海路,31.471238,121.82625,崇明东滩2路,null,null,0
露港桥,31.477159,121.835232,崇明东滩2路,null,null,0
营房,31.471664,121.840517,崇明东滩2路,null,null,0
瀛东村,31.471488,121.846205,崇明东滩2路,null,null,0
七号泵站招呼站,31.472244,121.854227,崇明东滩2路,null,null,0
团结沙农场招呼站,31.465933,121.863116,崇明东滩2路,null,null,0
团结沙水闸,31.457635,121.879299,崇明东滩2路,null,null,0
文豪花园,31.454874,120.855467,昆山118路,null,null,0
崇宁寺,31.456772,120.855997,昆山旅游6号线,null,null,0
巴城大闸蟹市场,31.449866,120.854447,昆山旅游6号线,null,null,0
蟹市场,31.449796,120.854514,昆山118路,null,null,0
阳澄湖蟹舫苑,31.446068,120.854186,昆山旅游6号线,null,null,0
湖滨路迎宾路,31.445987,120.854283,昆山118路,null,null,0
玫瑰园,31.441255,120.854285,昆山118路,null,null,0
古城路湖亭路,31.455892,120.880703,昆山117路;昆山159路;昆山159路中环快线,null,null,0
马料江村,31.453401,120.880865,昆山117路;昆山159路;昆山159路中环快线,null,null,0
巴城汽车站,31.45711,120.884251,昆山117路,null,null,0
巴城客运站,31.457178,120.884249,昆山115路;昆山116路;昆山155路;昆山159路;昆山159路中环快线,null,null,0
古城路迎宾西路,31.445894,120.881236,昆山117路;昆山159路;昆山159路中环快线,null,null,0
龙潭湖村,31.438351,120.881455,昆山117路;昆山159路;昆山159路中环快线,null,null,0
迎宾路祖冲之路,31.445709,120.889853,昆山115路,null,null,0
北大资源·理城,31.44358,120.905575,昆山115路,null,null,0
东平路东盛路,31.438342,120.917075,昆山115路,null,null,0
玉杨路环庆路西,31.453775,120.933,昆山18路,null,null,0
中节能产业园,31.452664,120.936065,昆山18路,null,null,0
原创企业基地,31.443952,120.936946,昆山18路,null,null,0
五联路环庆路,31.44142,120.9378,昆山18路,null,null,0
五联路玉城路,31.443158,120.944267,昆山18路,null,null,0
五联村,31.443319,120.946922,昆山18路,null,null,0
包家桥,31.439184,120.946932,昆山18路,null,null,0
北门路迎宾路,31.454702,120.955484,昆山1路,null,null,0
